"","Id","Grupo","Edad","Sexo","MUNICIPIO","DeptoSecc","Dedica_AP1","Dedica_DPyR1","ConPrevio","p11","p21","p31","p41","p51","p61","p71","p81","p91","p101","r11","r21","r31","r41","r51","r61","r71","r81","r91","r101"
"1",213,2,19,"F","CIUDAD DE LA COSTA","CANELONES",1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"2",117,1,19,"F","PASO CARRASCO","CANELONES",1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
"3",336,3,19,"F","E","MONTEVIDEO",1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"4",101,1,19,"F","PAN DE AZUCAR","MALDONADO",0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"5",312,3,19,"F","E","MONTEVIDEO",1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1
"6",23,1,19,"F","CH","MONTEVIDEO",1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
"7",306,3,19,"F","B","MONTEVIDEO",1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"8",58,1,18,"F","D","MONTEVIDEO",1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0
"9",3,1,24,"M","A","MONTEVIDEO",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",264,3,19,"M","E","MONTEVIDEO",0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"11",187,2,19,"F","LORENZO GEYRES","PAYSANDU",0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"12",251,3,20,"F","CH","MONTEVIDEO",1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
"13",65,1,19,"F","D","MONTEVIDEO",1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"14",235,3,26,"F","B","MONTEVIDEO",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"15",72,1,19,"F","E","MONTEVIDEO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"16",114,1,19,"F","E","MONTEVIDEO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"17",272,3,19,"F","CH","MONTEVIDEO",1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"18",233,2,19,"F","E","MONTEVIDEO",0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"19",249,3,20,"F","F","MONTEVIDEO",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",319,3,19,"F","A","MONTEVIDEO",1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
"21",63,1,18,"F","PAN DE AZUCAR","MALDONADO",1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
"22",217,2,19,"F","C","MONTEVIDEO",0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"23",79,1,18,"F","E","MONTEVIDEO",1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1
"24",73,1,19,"F","D","MONTEVIDEO",1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"25",196,2,19,"F","CIUDAD DE LA COSTA","CANELONES",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"26",43,1,19,"F","LAS PIEDRAS","CANELONES",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"27",104,1,19,"F","CH","MONTEVIDEO",1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1
"28",59,1,18,"F","CIUDAD DE LA COSTA","CANELONES",1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
"29",211,2,18,"F","B","MONTEVIDEO",1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"30",151,2,20,"M","SALINAS","CANELONES",0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"31",294,3,20,"M","SALINAS","CANELONES",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"32",242,3,22,"M","SAN JACINTO","CANELONES",0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
