"","Id","Grupo","Edad","Sexo","Dedica_AP1","Dedica_DPyR1","ConPrevio","items","responses"
"1",213,2,19,0,1,1,0,"p11",1
"2",117,1,19,0,1,1,0,"p11",1
"3",336,3,19,0,1,1,0,"p11",1
"4",101,1,19,0,0,1,0,"p11",1
"5",312,3,19,0,1,1,0,"p11",1
"6",23,1,19,0,1,1,0,"p11",1
"7",306,3,19,0,1,1,0,"p11",1
"8",58,1,18,0,1,1,0,"p11",1
"9",3,1,24,1,1,0,1,"p11",1
"10",264,3,19,1,0,0,1,"p11",1
"11",187,2,19,0,0,0,0,"p11",1
"12",251,3,20,0,1,1,0,"p11",1
"13",65,1,19,0,1,1,0,"p11",1
"14",235,3,26,0,0,0,1,"p11",1
"15",72,1,19,0,0,0,0,"p11",0
"16",114,1,19,0,0,0,0,"p11",0
"17",272,3,19,0,1,1,0,"p11",1
"18",233,2,19,0,0,1,0,"p11",1
"19",249,3,20,0,0,0,1,"p11",1
"20",319,3,19,0,1,1,0,"p11",1
"21",63,1,18,0,1,1,0,"p11",1
"22",217,2,19,0,0,1,0,"p11",1
"23",79,1,18,0,1,1,0,"p11",1
"24",73,1,19,0,1,0,0,"p11",1
"25",196,2,19,0,0,0,0,"p11",1
"26",43,1,19,0,0,0,0,"p11",0
"27",104,1,19,0,1,1,0,"p11",1
"28",59,1,18,0,1,0,0,"p11",0
"29",211,2,18,0,1,1,0,"p11",1
"30",151,2,20,1,0,0,1,"p11",1
"31",294,3,20,1,0,0,1,"p11",0
"32",242,3,22,1,0,0,0,"p11",1
"33",287,3,19,0,0,0,0,"p11",0
"34",37,1,19,0,1,0,0,"p11",1
"35",300,3,19,0,1,1,0,"p11",1
"36",183,2,19,0,1,1,0,"p11",1
"37",308,3,19,0,1,1,0,"p11",1
"38",100,1,18,0,1,1,0,"p11",1
"39",11,1,22,1,1,1,0,"p11",0
"40",160,2,19,0,0,0,0,"p11",0
"41",32,1,19,0,0,0,0,"p11",0
"42",203,2,18,0,0,1,0,"p11",1
"43",62,1,19,0,1,1,0,"p11",0
