"","Id","Grupo","Edad","Sexo","Dedica_APyR2","ConPrevio","p12","p22","p32","p42","p52","p62","p72","p82","p92","p102","r12","r22","r32","r42","r52","r62","r72","r82","r92","r102"
"1",101,1,19,"F",1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0
"2",312,3,19,"F",1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"3",23,1,19,"F",1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0
"4",306,3,19,"F",1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
"5",65,1,19,"F",1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1
"6",272,3,19,"F",1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
"7",233,2,19,"F",1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0
"8",319,3,19,"F",1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"9",63,1,18,"F",1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
"10",276,3,19,"F",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
"11",217,2,19,"F",1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"12",79,1,18,"F",1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1
"13",104,1,19,"F",1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
"14",310,3,18,"F",1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0
"15",211,2,18,"F",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0
"16",300,3,19,"F",1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1
"17",183,2,19,"F",1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"18",308,3,19,"F",1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
"19",100,1,18,"F",1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1
"20",62,1,19,"F",1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"21",318,3,19,"F",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
"22",139,2,21,"M",1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0
"23",321,3,20,"F",1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"24",325,3,19,"M",1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0
"25",92,1,18,"F",1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"26",49,1,19,"F",1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
"27",292,3,19,"F",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
"28",18,1,21,"M",1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0
"29",25,1,19,"F",1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0
"30",110,1,19,"F",1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0
"31",191,2,18,"F",1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
"32",171,2,19,"F",1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0
"33",89,1,19,"F",1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"34",137,2,20,"M",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"35",316,3,20,"M",1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"36",24,1,19,"F",1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
"37",68,1,18,"F",1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"38",212,2,19,"F",1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0
"39",39,1,19,"F",1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"40",317,3,19,"F",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"41",116,1,19,"F",1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0
"42",206,2,19,"F",1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1
"43",36,1,19,"F",1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1
"44",285,3,19,"F",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",331,3,19,"M",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"46",35,1,19,"F",1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
"47",198,2,20,"M",1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0
"48",227,2,19,"F",1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0
"49",135,2,20,"F",1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0
"50",274,3,19,"F",1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"51",266,3,19,"F",1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"52",231,2,21,"F",1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
"53",19,1,19,"F",1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",44,1,19,"F",1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1
"55",99,1,19,"F",1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1
"56",22,1,19,"F",1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
"57",253,3,20,"F",1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
"58",284,3,20,"M",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",77,1,19,"F",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
"60",119,1,19,"F",1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0
"61",288,3,19,"F",1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"62",50,1,19,"F",1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
"63",60,1,19,"F",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",66,1,18,"F",1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"65",215,2,19,"F",1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0
"66",69,1,18,"F",1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"67",98,1,19,"F",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"68",154,2,19,"F",1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0
"69",40,1,19,"F",1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"70",224,2,19,"M",1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0
"71",111,1,21,"M",1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
"72",273,3,26,"F",1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"73",30,1,19,"F",1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0
"74",232,2,19,"F",1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"75",295,3,19,"F",1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
"76",323,3,19,"F",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"77",17,1,20,"F",1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0
"78",172,2,19,"F",1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0
"79",247,3,21,"F",1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1
"80",27,1,19,"F",1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1
"81",56,1,19,"F",1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0
"82",57,1,18,"F",1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0
"83",148,2,19,"F",1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0
"84",47,1,19,"F",1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0
"85",108,1,20,"M",1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
"86",197,2,19,"F",1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0
"87",182,2,18,"F",1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
"88",67,1,18,"F",1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
"89",159,2,19,"F",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
"90",297,3,19,"F",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"91",298,3,18,"F",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"92",96,1,18,"F",1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
"93",189,2,18,"F",1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0
"94",271,3,19,"F",1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1
"95",112,1,18,"F",1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
"96",261,3,20,"M",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"97",329,3,19,"F",1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0
"98",102,1,19,"F",1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
"99",304,3,18,"F",1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0
"100",75,1,19,"F",1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1
"101",277,3,19,"F",1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"102",225,2,19,"F",1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0
"103",70,1,19,"F",1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0
"104",296,3,19,"F",0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
"105",324,3,18,"F",1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
