"","Id","Grupo","Edad","Sexo","Dedica_AR1","Dedica_DR1","ConPrevio","r11","r21","r31","r41","r51","r61","r71","r81","r91","r101","r12","r22","r32","r42","r52","r62","r72","r82","r92","r102"
"1",101,1,19,"F",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
"2",312,3,19,"F",1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
"3",23,1,19,"F",1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0
"4",306,3,19,"F",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0
"5",65,1,19,"F",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
"6",272,3,19,"F",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"7",233,2,19,"F",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0
"8",319,3,19,"F",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
"9",63,1,18,"F",1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"10",217,2,19,"F",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"11",79,1,18,"F",0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1
"12",73,1,19,"F",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0
"13",104,1,19,"F",1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
"14",211,2,18,"F",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
"15",300,3,19,"F",1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1
"16",183,2,19,"F",1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
"17",308,3,19,"F",1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1
"18",100,1,18,"F",1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1
"19",62,1,19,"F",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
"20",318,3,19,"F",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
"21",139,2,21,"M",0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0
"22",325,3,19,"M",0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0
"23",92,1,18,"F",0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"24",49,1,19,"F",1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
"25",292,3,19,"F",0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0
"26",18,1,21,"M",1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0
"27",25,1,19,"F",1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
"28",110,1,19,"F",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0
"29",191,2,18,"F",1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
"30",171,2,19,"F",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"31",137,2,20,"M",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"32",316,3,20,"M",0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
"33",68,1,18,"F",1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
"34",212,2,19,"F",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"35",39,1,19,"F",1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
"36",317,3,19,"F",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"37",206,2,19,"F",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1
"38",36,1,19,"F",1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1
"39",285,3,19,"F",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",331,3,19,"M",1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0
"41",198,2,20,"M",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0
"42",227,2,19,"F",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0
"43",274,3,19,"F",1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"44",266,3,19,"F",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"45",19,1,19,"F",0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"46",44,1,19,"F",1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1
"47",99,1,19,"F",0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1
"48",22,1,19,"F",1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0
"49",284,3,20,"M",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",77,1,19,"F",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0
"51",119,1,19,"F",1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
"52",288,3,19,"F",1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
"53",50,1,19,"F",0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0
"54",66,1,18,"F",1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0
"55",69,1,18,"F",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"56",98,1,19,"F",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
