;departamen;Seccion;latMin;latMax;lonMin;lonMax
0;MONTEVIDEO;21a - MONTEVIDEO;-34,82433424;-34,71404069;-56,25099765;-56,10400959
1;MONTEVIDEO;20a - MONTEVIDEO;-34,86253401;-34,78163938;-56,4312454;-56,30841752
2;MONTEVIDEO;22a - MONTEVIDEO;-34,81855683;-34,70184302;-56,35366014;-56,21387825
3;MONTEVIDEO;23a - MONTEVIDEO;-34,88767588;-34,79746287;-56,3695639;-56,24175665
4;MONTEVIDEO;24a - MONTEVIDEO;-34,90633903;-34,85200431;-56,33250555;-56,24211705
5;MONTEVIDEO;5a - MONTEVIDEO;-34,93054869;-34,8973313;-56,17967994;-56,1608691
6;MONTEVIDEO;6a - MONTEVIDEO;-34,89300603;-34,87041992;-56,20943069;-56,17477924
7;MONTEVIDEO;7a - MONTEVIDEO;-34,87747998;-34,84550343;-56,22597794;-56,190288
8;MONTEVIDEO;8a - MONTEVIDEO;-34,85678331;-34,81133131;-56,22236233;-56,18136169
9;MONTEVIDEO;10a - MONTEVIDEO;-34,93806387;-34,90111726;-56,16396956;-56,13487395
10;MONTEVIDEO;11a - MONTEVIDEO;-34,91220413;-34,88555593;-56,13830365;-56,09090984
11;MONTEVIDEO;12a - MONTEVIDEO;-34,87149113;-34,83359733;-56,20275698;-56,15631979
12;MONTEVIDEO;13a - MONTEVIDEO;-34,88870349;-34,84652104;-56,17970933;-56,13698525
13;ARTIGAS;11a - ARTIGAS;-31,08707043;-30,51986934;-56,47730377;-55,8177655
14;SALTO;8a - SALTO;-30,97514678;-30,74100504;-57,80111296;-57,35748275
15;SALTO;10a - SALTO;-31,23759969;-30,92725242;-57,52811808;-56,4894021
16;SALTO;15a - SALTO;-31,72945707;-31,15615866;-57,34709483;-56,84421295
17;SALTO;9a - SALTO;-31,50191298;-31,07998128;-57,66472869;-57,25871008
18;SALTO;16a - SALTO;-31,80488532;-31,46198499;-57,78499577;-56,77606336
19;SALTO;12a - SALTO;-31,61538765;-31,11194459;-56,70954667;-56,15360391
20;SALTO;13a - SALTO;-31,8712397;-31,38803018;-56,86539722;-56,30159995
21;SALTO;14a - SALTO;-31,71931104;-31,14459917;-57,07823201;-56,60250288
22;SALTO;11a - SALTO;-31,25716584;-30,87717179;-56,57851535;-56,00955351
23;ARTIGAS;3a - ARTIGAS;-30,75301491;-30,4226961;-56,55278148;-56,32444286
24;ARTIGAS;4a - ARTIGAS;-30,3759212;-30,08550409;-57,19795452;-56,64367242
25;ARTIGAS;7a - ARTIGAS;-30,55198604;-30,18519113;-57,79024739;-57,43492946
26;ARTIGAS;8a - ARTIGAS;-30,92883332;-30,44202647;-57,87759217;-57,13998512
27;ARTIGAS;9a - ARTIGAS;-31,07059301;-30,64179143;-57,35764877;-56,45116046
28;ARTIGAS;10a - ARTIGAS;-30,90967153;-30,43948541;-56,91563346;-56,40442368
29;ARTIGAS;12a - ARTIGAS;-30,50647165;-30,22714806;-56,89655851;-56,47927449
30;ARTIGAS;5a - ARTIGAS;-30,75935445;-30,27279634;-57,29870812;-56,7986209
31;ARTIGAS;6a - ARTIGAS;-30,72805536;-30,2581373;-57,54391007;-57,19331503
32;SALTO;3a - SALTO;-31,50428841;-31,38787139;-58,07885384;-57,90340483
33;COLONIA;11a - COLONIA;-33,94664495;-33,76547161;-58,37378244;-57,98935326
34;COLONIA;12a - COLONIA;-34,2231137;-33,86222257;-58,11314868;-57,74668991
35;COLONIA;13a - COLONIA;-34,19379543;-33,88322685;-57,85236006;-57,41371105
36;COLONIA;14a - COLONIA;-34,34344647;-34,01754868;-57,81452778;-57,39991449
37;COLONIA;15a - COLONIA;-34,47257571;-34,21717721;-57,81214996;-57,46758227
38;COLONIA;16a - COLONIA;-34,43424003;-34,18682196;-57,52799041;-57,30821618
39;COLONIA;18a - COLONIA;-34,27509565;-33,92229465;-57,30107734;-56,98186181
40;PAYSANDU;2a - PAYSANDU;-32,33672315;-32,27320365;-58,10765344;-58,07978994
41;PAYSANDU;5a - PAYSANDU;-32,37206976;-32,06648412;-58,14328379;-57,59161007
42;PAYSANDU;6a - PAYSANDU;-32,13918628;-31,7550055;-58,19464931;-57,48589513
43;PAYSANDU;7a - PAYSANDU;-31,86774002;-31,45239323;-58,034803;-57,42383296
44;PAYSANDU;9a - PAYSANDU;-32,2457313;-31,77718017;-57,47086425;-56,64492809
